,title,lyrics
303, Morena Dos Olhos D'água ,"`Morena, dos olhos d'água,
Tira os seus olhos do mar.
Vem ver que a vida ainda vale
O sorriso que eu tenho
Pra lhe dar.

Descansa um meu pobre peito
Que jamais enfrenta o mar,
Mas que tem abraço estreito, morena,
Com jeito de lhe agradar.
Vem ouvir lindas histórias
Que por seu amor sonhei.
Vem saber quantas vitórias, morena,
Por mares que só eu sei.

Morena, dos olhos d'água,
Tira os seus olhos do mar.
Vem ver que a vida ainda vale
O sorriso que eu tenho
Pra lhe dar.

Seu homem foi-se embora,
Prometendo voltar já.
Mas as ondas não tem hora, morena,
De partir ou de voltar.
Passa a vela e vai-se embora
Passa o tempo e vai também.
Mas meu canto 'inda lhe implora, morena,
Agora, morena, vem.

Morena, dos olhos d'água,
Tira os seus olhos do mar.
Vem ver que a vida ainda vale
O sorriso que eu tenho
Pra lhe dar.`"
304, Morro Dois Irmãos ,"`Dois Irmãos, quando vai alta a madrugada
E a teus pés vão-se encostar os intrumentos
Aprendi a respeitar tua prumada
E desconfiar do teu silêncio

Penso ouvir a pulsação atravessada
Do que foi e o que será noutra existência
É assim como se a rocha dilatada
Fosse uma concentração de tempos

É assim como se o ritmo do nada
Fosse, sim, todos os ritmos por dentro
Ou, então, como um música parada
Sobre um montanha em movimento`"
305, Morte E Vida Severina ,"`Esta cova em que estás, com palmos medida
É a conta menor que tiraste em vida

É de bom tamanho, nem largo, nem fundo
É a parte que te cabe deste latifúndio

Não é cova grande, é cova medida
É a terra que querias ver dividida

É uma cova grande pra teu pouco defunto
Mas estarás mais ancho que estavas no mundo

É uma cova grande pra teu defunto parco
Porém mais que no mundo, te sentirás largo

É uma cova grande pra tua carne pouca
Mas à terra dada nao se abre a boca

É a conta menor que tiraste em vida

É a parte que te cabe deste latifúndio
(É a terra que querias ver dividida)

Estarás mais ancho que estavas no mundo
Mas à terra dada nao se abre a boca`"
306, Moto-contínuo ,"`Um homem pode ir ao fundo do fundo do fundo
se for por você

Um homem pode tapar os buracos do mundo
se for por você

Pode inventar qualquer mundo, como um vagabundo
se for por você
basta sonhar com você

Juntar o suco dos sonhos e encher um açude
se for por você

A fonte da juventude correndo nas bicas
se for por você

Bocas passando saúde com beijos nas bocas
se for por você

Homem também pode amar e abraçar e afagar seu ofício porquê

Vai habitar o edifício que faz pra você

E no aconchego da pele na pele, da carne na carne, entender

Que homem foi feito direito, do jeito que é feito o prazer

Homem constrói sete usinas usando a energia
que vem de você

Homem conduz a alegria que sai das turbinas
de volta a você

E cria o moto-contínuo da noite pro dia
se for por você

E quando um homem já está de partida, da curva da vida ele vê

Que o seu caminho não foi um caminho sozinho porquê

Sabe que um homem vai fundo e vai fundo e vai fundo
se for por você`"
307, Mulher Faladeira ,"`Fecha essa matraca que isso não nos convém
Vamos acabar com o zumzumzum
Teu falso desdém engana mais a ninguém
És qual um vintém, não tem valor algum
Baixa esse despacho e quebra o teu alguidar
Que o padre cansou de em vão te exorcizar
Te enxágua com sal grosso mal não fez nunca a ninguém
E a ti é que não vai fazer também
Antes que eu te dê com um pé na bunda
Bruaca, chifruda
Nem vem aprontar outro fuzuê
Furdúncio tem hora de terminar
Baranga, penosa te arranca
Teu tempo, juiz apitou
O jogo faz tempo já terminou
Tem muita miçanga nesse seu patuá
Sobra é farinha nesse angu
Tem língua de sogra nesse teu bláblá blá
Não dá pra encarar o teu i love you
Tens um olho gordo que me faz desandar
E até me brochar, mas vais te arrepender
Pois quem engole pedra reza um dito popular
Já sabe depois o que vai sofrer
Antes de armar outra barafunda
Mocreia, escuta
Não és capaz de condescender
Tampouco sou de contemporizar
O galo cantou faz um tempo,
Há tempo ele cocorocou
Levanta que o sol já se levantou
Que a hora de já se mandar passou
Que a hora de pirulitar chegou`"
308, Mulher na Janela ,"`Trabalho aqui nunca falta
Pra quem sabe trabalhar
O que fazia o cumpadre na sua terra de lá?

Pois fui sempre lavrador
Lavrador de terra má
Não há espécie de terra
Que eu não possa cultivar

Isso aqui de nada adianta
Pouco existe o que lavrar
Mas diga-me, retirante, o que mais fazia por lá?

Também lá na minha terra
De terra mesmo pouco há
Mas até a cava da pedra
Sinto-me é capaz de arar

Também de pouco adianta
Nem pedra aqui há de amassar
Diga-me ainda, cumpadre, o que mais fazia por lá?

Conheço todas as roças
Que nesse chão podem dar
O algodão, a mamona
A pita ou milho-caruá

Esses roçados do banco
Já não quer financiar
Mas diga-me, retirante, o que mais fazia por lá?

De qualquer das cinco tachas
De um banguê sei cozinhar
De cuidar de uma moenda
De uma casa de purgar

Com a vinda das usinas
Há poucos engenhos já
Nada mais o retirante aprendeu a fazer lá?

Ali ninguém aprendeu
Outro oficio aprenderá
Mas o sol, de sol a sol
Bem se aprende a suportar

Mas então eras tudo
O que sabe trabalhar?
Vamos, diga, retirante! Outras coisas saberá?`"
309," Mulher, Vou Dizer Quanto Eu Te Amo ","`Mulher, vou dizer quanto eu te amo
Cantando a flor
Que nós plantamos
Que veio a tempo
Nesse tempo que carece
Dum carinho, duma prece
Dum sorriso, dum encanto

Mulher, imagina o nosso espanto
Ao ver a flor
Que cresceu tanto
Pois no silêncio mentiroso
Tão zeloso dos enganos
Há de ser pura
Como o grito mais profano
Como a graça do perdão
E que ela faça vir o dia
Dia a dia mais feliz
E seja da alegria
Sempre uma aprendiz
Eu te repito
Este meu canto de louvor
Ao fruto mais bendito
Desse nosso amor`"
310," Mulher, Vou Dizer Quanto Te Amo ","`Mulher, vou dizer quanto te amo
Cantando a flor
Que nós plantamos
Que veio a tempo
Nesse tempo que carece
Dum carinho, duma prece
Dum sorriso, dum encanto

Mulher, imagina o nosso espanto
Ao ver a flor
Que cresceu tanto
Pois no silêncio mentiroso
Tão zeloso dos enganos
Há de ser pura
Como o grito mais profano
Como a graça do perdão
E que ela faça vir o dia
Dia a dia mais feliz
E seja da alegria
Sempre uma aprendiz
Eu te repito
Este meu canto de louvor
Ao fruto mais bendito
Desse nosso amor

`"
311, Mulheres De Atenas ,"`Mirem-se no exemplo
Daquelas mulheres de Atenas
Vivem pros seus maridos
Orgulho e raça de Atenas

Quando amadas, se perfumam
Se banham com leite, se arrumam
Suas melenas
Quando fustigadas não choram
Se ajoelham, pedem imploram
Mais duras penas; cadenas

Mirem-se no exemplo
Daquelas mulheres de Atenas
Sofrem pros seus maridos
Poder e força de Atenas

Quando eles embarcam soldados
Elas tecem longos bordados
Mil quarentenas
E quando eles voltam, sedentos
Querem arrancar, violentos
Carícias plenas, obscenas

Mirem-se no exemplo
Daquelas mulheres de Atenas
Despem-se pros maridos
Bravos guerreiros de Atenas

Quando eles se entopem de vinho
Costumam buscar um carinho
De outras falenas
Mas no fim da noite, aos pedaços
Quase sempre voltam pros braços
De suas pequenas, Helenas

Mirem-se no exemplo
Daquelas mulheres de Atenas:
Geram pros seus maridos
Os novos filhos de Atenas

Elas não têm gosto ou vontade
Nem defeito, nem qualidade
Têm medo apenas
Não tem sonhos, só tem presságios
O seu homem, mares, naufrágios
Lindas sirenas, morenas

Mirem-se no exemplo
Daquelas mulheres de Atenas
Temem por seus maridos
Heróis e amantes de Atenas

As jovens viúvas marcadas
E as gestantes abandonadas
Não fazem cenas
Vestem-se de negro, se encolhem
Se conformam e se recolhem
Às suas novenas, serenas

Mirem-se no exemplo
Daquelas mulheres de Atenas
Secam por seus maridos
Orgulho e raça de Atenas`"
312, Mundo De Zinco ,"`(Chico)
Aquele mundo de zinco que é mangueira
Desperta com o apito do trem
(Gilberto)
Uma cabrocha, uma esteira
Um barracão de madeira
Qualquer malandro em mangueira tem

(Chico)
Aquele mundo de zinco que é mangueira
Desperta com o apito do trem
(Caetano)
Uma cabrocha, uma esteira
Um barracão de madeira
Qualquer malandro em mangueira tem

(Chico)
Mangueira fica pertinho do céu
Mangueira vai assistir o meu fim
(Caetano)
Mas deixo o nome na história
O samba foi minha glória
E sei que muita cabrocha vai chorar por mim
`"
313, Murro Em Ponta De Faca ,"`Eu até que nem gostava
De sair da minha casa
Mas quando eu menos esperava
Parece que criei asa
Errando de porto em porto
Sou ave de migração
Mala de mão, peso morto
Sou quilombola ou balão
Não sei se sou o inimigo
Ou do inimigo me escondo
Não sei se fujo ou persigo
Por esse enredo, enredo, redondo

Eu até que nem gostava
De sair da minha casa
Mas quando eu menos esperava
Parece que criei asa
Eu quero entrar num boteco
Me jogam num avião
Eu vou dormir em sueco
Me acordam em alemão
Não sei se espero ou se brigo
Não sei se calo ou respondo
Não sei se fujo ou persigo
Por esse enredo, enredo, redondo`"
314, Na Carreira ,"`Pintar, vestir
Virar uma aguardente
Para a próxima função
Rezar, cuspir
Surgir repentinamente
Na frente do telão
Mais um dia, mais uma cidade
Pra se apaixonar
Querer casar
Pedir a mão

Saltar, sair
Partir pé ante pé
Antes do povo despertar
Pular, zunir
Como um furtivo amante
Antes do dia clarear
Apagar as pistas de que um dia
Ali já foi feliz
Criar raiz
E se arrancar

Hora de ir embora
Quando o corpo quer ficar
Toda alma de artista quer partir
Arte de deixar algum lugar
Quando não se tem pra onde ir

Chegar, sorrir
Mentir feito um mascate
Quando desce na estação
Parar, ouvir
Sentir que tatibitati
Que bate o coração
Mais um dia, mais uma cidade
Para enlouquecer
O bem-querer
O turbilhão

Bocas, quantas bocas
A cidade vai abrir
Pruma alma de artista se entregar
Palmas pro artista confundir
Pernas pro artista tropeçar

Voar, fugir
Como o rei dos ciganos
Quando junta os cobres seus
Chorar, ganir
Como o mais pobre dos pobres
Dos pobres dos plebeus
Ir deixando a pele em cada palco
E não olhar pra trás
E nem jamais
Jamais dizer
Adeus`"
315," Na Ilha De Lia, No Barco De Rosa ","`Quando adormecia na ilha de Lia, meu Deus eu só vivia a sonhar
Que passava ao largo no barco de Rosa e queria aquela ilha abordar
Prá dormir com Lia que via que eu ia sonhar dentro do barco de Rosa
Rosa que se ria e dizia nem coisa com coisa

Era uma armadilha de Lia com Rosa com Lia, eu não podia escapar
Girava num barco num lago no centro da ilha num moinho de mar
Era estar com Rosa nos braços de Lia, era Lia com balanço de Rosa

Era tão real, era devaneio
Era meio a meio, meio Rosa, meio Lia, meio
Rosa,meio dia,meia-lua,meio Lia,meio

Era uma partilha de Rosa com Lia, com Rosa, eu não podia esperar
Na feira do porto, meu corpo, minh'alma, meus sonhos vinham negociar
Era poesia nos pratos de Rosa, era prosa na balança de Lia

Era tão real, era devaneio
Era meio a meio, meio Lia, meio Rosa, meio
Lia, meia lua, meio dia, meio Rosa, meio
Na ilha de Lia, de Lia, de Lia`"
316, Não Existe Pecado Ao Sul Do Equador ,"`Não existe pecado do lado de baixo do equador
Vamos fazer um pecado rasgado, suado, a todo vapor
Me deixa ser teu escracho, capacho, teu cacho
Um riacho de amor
Quando é lição de esculacho, olha aí, sai de baixo
Que eu sou professor

Deixa a tristeza pra lá, vem comer, me jantar
Sarapatel, caruru, tucupi, tacacá
Vê se me usa, me abusa, lambuza
Que a tua cafuza
Não pode esperar
Deixa a tristeza pra lá, vem comer, me jantar
Sarapatel, caruru, tucupi, tacacá
Vê se me esgota, me bota na mesa
Que a tua holandesa
Não pode esperar

Não existe pecado do lado de baixo do equador
Vamos fazer um pecado, rasgado, suado a todo vapor
Me deixa ser teu escracho, teu cacho
Um riacho de amor
Quando é missão de esculacho, olha aí, sai de baixo
Que eu sou embaixador`"
317, Não Fala De Maria ,"`Não fala de Maria
Maria lembra mar
Que lembra aquele dia
Que não é bom lembrar
Que dia, que tristeza
Que noite, que agonia
Que puxa a correnteza
E traz a maresia
E bate aquele vento
Que lembra um assobio
Que lembra um sofrimento
Que eu não merecia
Não fala não, te esconjuro
Que só de imaginar
O tempo fica escuro
E o espanto agita o mar
Que lembra aquele dia
Que lembra uma canção
Que faz lembrar Maria
E aí não lembro não
A coisa fica séria
É como um turbilhão
Fazendo uma miséria
No meu coração`"
318, Não Sonho Mais ,"`Hoje eu sonhei contigo,
Tanta desdita! Amor, nem te digo
Tanto castigo que eu tava aflita de te contar.

Foi um sonho medonho
Desses que, às vezes, a gente sonha
E baba na fronha e se urina toda e quer sufocar.

Meu amor, vi chegando
Um trêm de candango
Formando um bando,
Mas que era um bando
De orangotango pra te pegar.

Vinha nego humilhado,
Vinha morto-vivo, vinha flagelado.
De tudo que é lado
Vinha um bom motivo pra te esfolar.

Quanto mais tu corria
Mais tu ficava, mais atolava,
Mais te sujava. Amor, tu fedia,
Empesteava o ar.

Tu que foi tão valente
Chorou pra gente. Pediu piedade
E, olha que maldade,
Me deu vontade de gargalhar.

Ao pé da ribanceira acabou-se a liça
E escarrei-te inteira a tua carniça
E tinha justiça nesse escarrar.

Te ""rasgamo"" a carcaça
Descendo a ripa. ""Viramo"" as tripas,
Comendo os ""ovo"", ai!,
E aquele povo pôs-se a cantar.

Foi um sonho medonho,
Desses que, às vezes,
A gente sonha e baba na fronha
E se urina toda e já não tem paz.

Pois eu sonhei contigo e caí da cama.
Ai, amor, não briga! Ai, não me castiga!
Ai, diz que me ama e eu não sonho mais!`"
319, Nego Maluco ,"`Eu tava jogando vinte e um
Um nego maluco apareceu
Vinha com um baita de um rádio no colo
Tocando um samba a mil
E dizia pro povo que o samba era meu

Pintou saia justa no salão
Por culpa daquele fariseu
Dando, batendo no mesmo bordão
Toma aqui, toma aqui
Toma que o samba é teu


Sou da banda do jazz
Ganzá jamais me apeteceu
Não conheço o rapaz
Tenho família e esse samba não é meu`"
320, Nicanor ,"`Onde andará Nicanor?
Tinha mãos de jardineiro
Quando tratava de amor
Há tanta moça na espera
Suas gentis primaveras
Um desperdício de flor
Onde andará Nicanor?
Tinha amor pro porto inteiro
Um peito de remador
Ah, quem me dera as morenas
Pra consolar suas penas
Para abrandar seucalor

Olha elas sempre aflitas
Bata o vento ou caia chuva
Cada uma mais bonita
E mais viúva
Todas elas fazem ninho
Da saudade e da virtude
Mas carinho
Queira Deus que Deus ajude

Onde andará Nicanor?
Tinha nó de marinheiro
Quando amarrava um amor
Mas há recantos guardados
Nos sete mares rasgados
Sete pecados tão bons
Onde andará Nicanor?`"
321, Nina ,"`Nina diz que tem a pele cor de neve
E dois olhos negros como o breu
Nina diz que, embora nova
Por amores já chorou que nem viúva
Mas acabou, esqueceu

Nina adora viajar, mas não se atreve
Num país distante como o meu
Nina diz que fez meu mapa
E no céu o meu destino rapta
O seu

Nina diz que se quiser eu posso ver na tela
A cidade, o bairro, a chaminé da casa dela
Posso imaginar por dentro a casa
A roupa que ela usa, as mechas, a tiara
Posso até adivinhar a cara que ela faz
Quando me escreve

Nina anseia por me conhecer em breve
Me levar para a noite de moscou
Sempre que esta valsa toca
Fecho os olhos, bebo alguma vodca
E vou`"
322, Noite De Verão ,"`Este não sou eu
Meus lábios nos seus lábios não são meus
O meu olho no seu olho no meu olho no seu
Duvida do que vê

Deve ser um rei
Deve ser um deus
O homem que possui você

Não pode ser eu
Você fala meu nome, quem sou eu?
Você fala meu homem, sim,
Meu homem, sim, mas qual?
Eu nunca fui ninguém

Deve ser demais
Deve ser o tal
O homem que lhe faz tão bem

Sonho de Mulher
Em noite de verão
Por que é que você veio me perder
Quer se divertir
Fingindo me adorar
Ou fingir se enganar
Me amando pra valer

Beije-me outro beijo uma outra vez
Que importa se estes beijos não são meus
Que eu só tenho esta noite de favor
Nos braços de uma atriz

Este não sou eu
Este é um impostor
Que pobre de amor se diz

Deve ser um rei
Deve ser um Deus
Como deve ser feliz`"
323, Noite Dos Mascarados ,"`- Quem é você?
- Adivinha, se gosta de mim!

Hoje os dois mascarados
Procuram os seus namorados
Perguntando assim:

- Quem é você, diga logo...
- Que eu quero saber o seu jogo...
- Que eu quero morrer no seu bloco...
- Que eu quero me arder no seu fogo.

- Eu sou seresteiro,
Poeta e cantor.
- O meu tempo inteiro
Só zombo do amor.
- Eu tenho um pandeiro.
- Só quero um violão.
- Eu nado em dinheiro.
- Não tenho um tostão.
Fui porta-estandarte,
Não sei mais dançar.
- Eu, modéstia à parte,
Nasci pra sambar.
- Eu sou tão menina...
- Meu tempo passou...
- Eu sou Colombina!
- Eu sou Pierrô!

Mas é Carnaval!
Não me diga mais quem é você!
Amanhã tudo volta ao normal.
Deixa a festa acabar,
Deixa o barco correr.

Deixa o dia raiar, que hoje eu sou
Da maneira que você me quer.
O que você pedir eu lhe dou,
Seja você quem for,
Seja o que Deus quiser!
Seja você quem for,
Seja o que Deus quiser!`"
324, Noiva da Ciade ,"`""Tutu-Marambá não venha mais cá
Que a mãe da criança te manda matar""
""Tutu-Marambá não venha mais cá
Que a mãe da criança te manda matar""

Ai, como essa moça é descuidada
Com a janela escancarada
Quer dormir impunemente
Ou será que a moça lá no alto
Não escuta o sobressalto
Do coração da gente

Ai, quanto descuido o dessa moça
Que papai tá lá na roça
E mamãe foi passear
E todo marmanjo da cidade
Quer entrar
Nos versos da cantiga de ninar
Pra ser um Tutu-Marambá

Ai, como essa moça é distraída
Sabe lá se está vestida
Ou se dorme transparente
Ela sabe muito bem que quando adormece
Está roubando
O sono de outra gente

Ai, quanta maldade a dessa moça
E, que aqui ninguém nos ouça
Ela sabe enfeitiçar
Pois todo malandro da cidade
Quer entrar
Nos sonhos que ela gosta de sonhar
E ser um Tutu-Marambá

""Boi, boi, boi, boi da cara preta
Pega essa menina que tem medo de careta""



`"
326, Nosso Bolero ,"`Jogamos nosso bolero
Na ronda dos oceanos
A vida vem como em ondas
Dizia nosso poeta
Nossa canção incompleta
Pode esperar vinte anos
O amor faz ondas redondas
Até quebrar como eu quero

Como o meu jeito de amar se ajeitava com você
Louco, eu não imaginava uma noite sem você
Como é sincero poder
Querer os pulsos cortar
Como é bolero chegar
E perder a coragem
Foi tão bonito você me emprestar a vida assim
Ver que eu não tinha saída e seguir por onde eu vim
Como eu adoro você
Quando você me sorri
Quando sabemos que aqui
Termina nossa viagem`"
327, Noticia de Jornal ,"`Atentou contra a existência
Num humilde barracão
Joana de tal, por causa de um tal João

Depois de medicada
Retirou-se pro seu lar
Aí a notícia carece de exatidão

O lar não mais existe
Ninguém volta ao que acabou
Joana é mais uma mulata triste que errou

Errou na dose
Errou no amor
Joana errou de João
Ninguém notou
Ninguém morou na dor que era o seu mal
A dor da gente não sai no jornal`"
329, Novo Amor ,"`Eu sei, ai eu sei
Que brilha um novo amor nos olhos seus
O olhar de uma mulher faz pouco até de Deus
Mas não engana uma outra mulher

Eu sei, ai eu sei
Que esse seu novo amor lhe quer também tão bem
Que até comove aquele olhar que um homem tem
Quando ele pensa que sabe o que quer

Porém, ai porém
Visto que a vida gosta de uns ardis
No dia em que ao seu lado ele sonhar feliz, feliz assim
Feche então você seus olhos por favor
E pode estar certa que o seu novo amor
Resolveu voltar pra mim
Ai de mim
Ai de mim`"
330, Nuvem Negra ,"`Não adianta
Me ver sorrir
Espelho meu
Meu riso é seu
Eu estou ilhada
Hoje não ligo a TV
Nem mesmo pra ver o Jô
Não vou sair
Se ligarem não estou
À manhã que vem
Nem bom-dia eu vou dar
Se chegar alguém
A me pedir um favor
Eu não sei
Tá difícil ser eu
Sem reclamar de tudo
Passa a nuvem negra
Larga o dia
E vê se leva o mal
Que me arrasou
Pra que não faça sofrer
Mais ninguém
Esse amor
Que é raro
E é preciso
Pra nos levantar
Me derrubou
Não sabe parar
De crescer
E doer...`"
331, O Caderno ,"`Sou eu que vou seguir você
Do primeiro rabisco até o bê-a-bá
Em todos os desenhos
Coloridos vou estar
A casa, a montanha
Duas nuvens no céu
E um Sol a sorrir no papel

Sou eu que vou ser seu colega
Seus problemas ajudar a resolver
Sofrer também nas provas bimestrais
Junto a você
Serei sempre seu confidente fiel
Se seu pranto molhar meu papel

Sou eu que vou ser seu amigo
Vou lhe dar abrigo
Se você quiser
Quando surgirem seus primeiros raios de mulher
A vida se abrirá num feroz carrossel
E você vai rasgar meu papel

O que está escrito em mim
Comigo ficará guardado
Se lhe dá prazer
A vida segue sempre em frente
O que se há de fazer?
Só peço a você um favor, se puder
Não me esqueça num canto qualquer`"
332, O Casamento Dos Pequenos Burgueses ,"`Ele faz o noivo correto
E ela faz que quase desmaia
Vão viver sob o mesmo teto
Até que a casa caia
Até que a casa caia

Ele é o empregado discreto
Ela engoma o seu colarinho
Vão viver sob o mesmo teto
Até explodir o ninho
Até explodir o ninho

Ele faz o macho irrequito
E ela faz crianças de monte
Vão viver sob o mesmo teto
Até secar a fonte
Até secar a fonte

Ele é o funcionário completo
E ela aprende a fazer suspiros
Vão viver sob o mesmo teto
Até trocarem tiros
Até trocarem tiros

Ele tem um caso secreto
Ela diz que não sai dos trilhos
Vão viver sob o mesmo teto
Até casarem os filhos
Até casarem os filhos

Ele fala de cianureto
E ela sonha com formicida
Vão viver sob o mesmo teto
Até que alguém decida
Até que alguém decida

Ele tem um velho projeto
Ela tem um monte de estrias
Vão viver sob o mesmo teto
Até o fim dos dias
Até o fim dos dias

Ele às vezes cede um afeto
Ela só se despe no escuro
Vão viver sob o mesmo teto
Até um breve futuro
Até um breve futuro

Ela esquenta a papa do neto
E ele quase que fez fortuna
Vão viver sob o mesmo teto
Até que a morte os una
Até que a morte os una.`"
333, O Cio Da Terra ,"`Debulhar o trigo
Recolher cada bago do trigo
Forjar no trigo o milagre do pão
E se fartar de pão

Decepar a cana
Recolher a garapa da cana
Roubar da cana a doçura do mel
Se lambuzar de mel

Afagar a terra
Conhecer os desejos da terra
Cio da terra, a propícia estação
E fecundar o chão`"
334, O Circo Místico ,"`Não 
Não sei se é um truque banal
Se um invisível cordão
Sustenta a vida real

Cordas de uma orquestra
Sombras de um artista
Palcos de um planeta
E as dançarinas no grande final

Chove tanta flor
Que, sem refletir
Um ardoroso expectador
Vira colibri

Qual
Não sei se é nova ilusão
Se após o salto mortal
Existe outra encarnação

Membro de um elenco
Malas de um destino
Partes de uma orquestra
Duas meninas no imenso vagão

Negro refletor
Flores de organdi
E o grito do homem voador
Ao cair em si

Não sei se é vida real
Um invisível cordão
Após o salto mortal`"
335, O Corsário Do Rei ,"`É bonito ver passar o tempo
Ele já foi meu
Ele já foi meu
Já usou meu corpo
Ele abusou de mim
Será que me esqueceu
Será que me esqueceu

Tive grandes planos
Sonhos geniais
Eu já tive vinte anos
Pois agora eu tenho mais
Tenho sete mares
Mortes, mais de cem
Já rendi uma cidade
Agora eu quero bem
Mil e um amores
Cheiro de mulher
Mamas de todas as cores
Mamarei enquanto houver
Garrafões de vinho
Caldeirões de rum
Se ficarem no caminho
Não vai sobrar nenhum

Nem um louco pra cantar as minhas glórias
Nem um fraco, a minha perdição
Nem as águas
As memórias
Da trajetória do meu galeão
Galeões de Espanha
Ide ao vosso rei
Ele sabe a minha sanha
Mencionai-lhe que eu voltei
Preparar a tropa
Almirante inglês
Já montei vossa chalupa
Desmonto dessa vez
Quero bandalheira
Esfregar os pés
Já sujei vossa bandeira
Mijarei vosso convés
Destroçar os panos
Quero bacanais
Eu já tive vinte anos
Agora eu quero mais`"
336, O Filho Que Eu Quero Ter ,"`É comum a gente sonhar, eu sei
Quando vem o entardecer
Pois eu também dei de sonhar
Um sonho lindo de morrer.

Vejo um berço e nele eu me debruçar
Com o pranto a me correr.
E assim chorando acalentar
O filho que eu quero ter.

Dorme meu pequenininho,
Dorme que a noite já vem.
Teu pai está muito sozinho
De tanto amor que ele tem.

De repente o vejo se transformar
Num menino igual a mim
Que vem correndo me beijar,
Quando eu chegar lá de onde vim.

Um menino sempre a me perguntar
Um porquê que não tem fim.
Um filho a quem só queira bem
E a quem só diga que sim.

Dorme menino levado,
Dorme que a vida já vem.
Teu pai está muito cansado
De tanta dor que ele tem.

Quando a vida enfim me quiser levar
Pelo tanto que me deu
Sentir-lhe a barba me roçar
No derradeiro beijo seu.

E ao sentir também sua mão vedar
Meu olhar dos olhos seus
Ouvir-lhe a voz e me embalar
Num acalanto de adeus...

Dorme meu pai, sem cuidado.
Dorme que ao entardecer
Teu filho sonha acordado
Com o filho que ele quer ter...`"
337, O Futebol ,"`Para estufar esse filó
Como eu sonhei
Só
Se eu fosse o Rei
Para tirar efeito igual
Ao jogador
Qual
Compositor
Para aplicar uma firula exata
Que pintor
Para emplacar em que pinacoteca, nega
Pintura mais fundamental
Que um chute a gol
Com precisão
De flecha e folha seca

Parafusar algum joão
Na lateral
Não
Quando é fatal
Para avisar a finta enfim
Quando não é
Sim
No contrapé
Para avançar na vaga geometria
O corredor
Na paralela do impossível, minha nega
No sentimento diagonal
Do homem-gol
Rasgando o chão
E costurando a linha

Parábola do homem comum
Roçando o céu
Um
Senhor chapéu
Para delírio das gerais
No coliseu
Mas
Que rei sou eu
Para anular a natural catimba
Do cantor
Paralisando esta canção capenga, nega
Para captar o visual
De um chute a gol
E a emoção
Da idéia quando ginga

(Para Mané para Didi para Mané Mané para Didi para Mané para
Didi para
Pagão para Pelé e Canhoteiro)`"
338, O Jumento ,"`Jumento não é
Jumento não é
O grande malandro da praça
Trabalha, trabalha de graça
Não agrada a ninguém
Nem nome não tem
É manso e não faz pirraça
Mas quando a carcaça ameaça rachar
Que coices, que coices
Que coices que dá

O pão, a farinha, o feijão, carne seca
Quem é que carrega? Hi-ho
O pão, a farinha, o feijão, carne seca
Limão, mexerica, mamão, melancia
Que é que carrega? Hi-ho
O pão, a farinha, o feijão, carne seca
Limão mexerica, mamão, melancia
A areia, o cimento, o tijolo, a pedreira
Quem é que carrega? Hi-ho

Jumento não é
Jumento não é
O grande malandro da praça
Trabalha, trabalha de graça
Não agrada a ninguém
Nem nome não tem
É manso e não faz pirraça
Mas quando a carcaça ameaça rachar
Que coices, que coices
Que coices que dá

Hi-hooo`"
339, O Malandro ,"`O malandro/Na dureza
Senta à mesa/Do café
Bebe um gole/De cachaça
Acha graça/E dá no pé

O garçom/No prejuízo
Sem sorriso/Sem freguês
De passagem/Pela caixa
Dá uma baixa/No português

O galego/Acha estranho
Que o seu ganho/Tá um horror
Pega o lápis/Soma os canos
Passa os danos/Pro distribuidor

Mas o frete/Vê que ao todo
Há engodo/Nos papéis
E pra cima/Do alambique
Dá um trambique/De cem mil réis

O usineiro/Nessa luta
Grita(ponte que partiu)
Não é idiota/Trunca a nota
Lesa o Banco/Do Brasil

Nosso banco/Tá cotado
'Tá cotado
No mercado/Exterior
Então taxa/A cachaça
A um preço/Assutador

Mas os ianques/Com seus tanques
Têm bem mais o/Que fazer
E proíbem/Os soldados
Aliados/De beber

A cachaça/Tá parada
Rejeitada/No barril
O alambique/Tem chilique
Contra o Banco/Do Brasil

O usineiro/Faz barulho
Com orgulho/De produtor
Mas a sua/Raiva cega
Descarrega/No carregador

Este chega/Pro galego
Nega arrego/Cobra mais
A cachaça/Tá de graça
Mas o frete/Como é que faz?

O galego/Tá apertado
Pro seu lado/Não tá bom
Então deixa/Congelada
A mesada/Do garçom

O garçom vê/Um malandro
Sai gritando/Pega ladrão
E o malandro/Autuado
É julgado e condenado culpado
Pela situação`"
340, O Malandro 2 ,"`O malandro/Tá na greta
Na sargeta/Do país
E quem passa/Acha graça
Na desgraça/Do infeliz

O malandro/Tá de coma
Hematoma/No nariz
E resgando/Sua bunda
Um funda/Cicatriz

O seu rosto/Tem mais mosca
Que a birosca/Do Mané
O malandro/É um presunto
De pé junto/E com chulé

O coitado/Foi encontrado
Mais furado/Que Jesus
E do estranho/Abdômen
Desse homem/Jorra pus

O seu peito/Putrefeito
Tá com jeito/De pirão
O seu sangue/Forma lagos
E os seus bagos/Estão no chão

O cadáver/Do indigente
É evidente/Que morreu
E no entanto/Ele se move
Como prova/O Galileu`"
